state_name,stem_percent
New-York,33.2
California,28.4
Massachusetts,28.08
Pennsylvania,28.04
Wyoming,25.0
New-Mexico,24.166666666666668
South-Dakota,22.8
Michigan,22.2
Indiana,20.28
Texas,20.24
Maryland,20.08
Ohio,19.96
Colorado,19.473684210526315
New-Jersey,18.76
Montana,18.11111111111111
Connecticut,17.75
Illinois,17.68
Wisconsin,17.2
Virginia,17.16
Minnesota,17.0
